X,Y,DEPT_ID,STATION,ESN,ATY,COI,CID,AID,ANA,AAD,MCN,STA,SOD,DLU,MAILADD,MAILTOWN,MAILZIP,PARCEL_SBL,NAME,WEBLINK,ADDRESS
-73.87970402,41.64209341,32,AR-3,535,F,36027,134689,14002,ARLINGTON FIRE DEPARTMENT ST. 3,213 VASSAR RD,POUGHKEEPSIE,NY,DCER,20040429,213 VASSAR RD,POUGHKEEPSIE,12603,4689-6259-01-398846,ARLINGTON FIRE DEPARTMENT ST. 3,http://www.afd.org,213 VASSAR RD
-73.8678481,41.6574849,47,LA-3,527,F,36027,133400,14015,LA GRANGE FIRE DEPARTMENT ST. 3,21 RED OAKS MILL RD,LA GRANGE,NY,DCER,20040429,21 RED OAKS MILL RD,POUGHKEEPSIE,12603,3400-6260-04-716420,LA GRANGE FIRE DEPARTMENT ST. 3,http://www.lagrangefd.org,21 RED OAKS MILL RD
-73.92899389,41.65855529,32,AR-5,535,F,36027,134689,14002,ARLINGTON FIRE DEPARTMENT ST. 5,7 SPACKENKILL RD,POUGHKEEPSIE,NY,DCER,20040429,7 SPACKENKILL RD,POUGHKEEPSIE,12601,4689-6160-03-038451,ARLINGTON FIRE DEPARTMENT ST. 5,http://www.ccfc5.com/index.html,7 SPACKENKILL RD
-73.85330101,41.67932586,47,LA-2,527,F,36027,133400,14015,LA GRANGE FIRE DEPARTMENT ST. 2,504 FREEDOM PLAINS RD,LA GRANGE,NY,DCER,20040429,504 FREEDOM PLAINS RD,POUGHKEEPSIE,12603,3400-6361-03-100206,LA GRANGE FIRE DEPARTMENT ST. 2,http://www.lagrangefd.org,504 FREEDOM PLAINS RD
-73.88775525,41.69632326,32,ARHQ,535,F,36027,134689,14002,ARLINGTON FIRE DEPARTMENT HEADQUARTERS,11 BURNETT BLVD,POUGHKEEPSIE,NY,DCER,20040429,11 BURNETT BLVD,POUGHKEEPSIE,12603,4689-6261-01-155830,ARLINGTON FIRE DEPARTMENT HEADQUARTERS,http://www.afd.org,11 BURNETT BLVD
-73.89900128,41.74666929,14000,DC911,501 - 575,F,36027,133200,14000,DUTCHESS COUNTY 911,392 CREEK RD,DUTCHESS COUNTY,NY,DCER,20040429,392 CREEK RD,POUGHKEEPSIE,12601,3200-6163-02-859662,DUTCHESS COUNTY 911,,392 CREEK RD
-73.80340421,41.61565081,39,EF-3,512,F,36027,132800,14008,EAST FISHKILL FIRE DEPT. ST. 3,207 HILLSIDE LAKE RD,EAST FISHKILL,NY,DCER,20040429,207 HILLSIDE LAKE RD,WAPPINGER FALLS,12590,2800-6458-06-487898,EAST FISHKILL FIRE DEPT. ST. 3,http://members.aol.com/effdsta3/Hillside.html,207 HILLSIDE LAKE RD
-73.74474037,41.56988593,39,EF-2,512,F,36027,132800,14008,EAST FISHKILL FIRE DEPT. ST. 2,112 OLD ROUTE 52,EAST FISHKILL,NY,DCER,20040429,PO BOX 55,STORMVILLE,12582,2800-6657-03-098246,EAST FISHKILL FIRE DEPT. ST. 2,,112 OLD ROUTE 52
-73.82079874,41.54423335,96,IBM-EF,,F,36027,132800,14451,IBM - EAST  FISHKILL,"2070 ROUTE 52, BLDG 308",EAST FISHKILL,NY,DCER,20040429,2070 ROUTE 52,HOPEWELL JUNCTION,12533,2800-6456-03-980140,IBM - EAST  FISHKILL,,"2070 ROUTE 52, BLDG 308"
-73.68455921,41.61163459,34,BE-1,506,F,36027,132200,14004,BEEKMAN FIRE DEPARTMENT,316 BEEKMAN POUGHQUAG RD,BEEKMAN,NY,DCER,20040429,PO BOX 247,POUGHQUAG,12570,2200-6758-02-725770,BEEKMAN FIRE DEPARTMENT,http://www.beekmanfireco.com,316 BEEKMAN POUGHQUAG RD
-73.6796361,41.6583923,67,UV-2,546,F,36027,135400,14032,UNION VALE FIRE DEPARTMENT ST. 2,1795 CLOVE RD,UNION VALE,NY,DCER,20040429,1795 CLOVE RD,POUGHQUAG,12570,5400-6760-00-841487,UNION VALE FIRE DEPARTMENT ST. 2,,1795 CLOVE RD
